,trip_id,starttime,stoptime,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthyear
0,4118,6/27/2013 12:11,6/27/2013 12:16,480,316,42.0,Michigan Ave & Oak St,282.0,Larrabee St & Menomonee St,Customer,,
1,4275,6/27/2013 14:44,6/27/2013 14:45,77,64,76.0,Racine Ave & Congress Pkwy,76.0,Racine Ave & Congress Pkwy,Customer,,
2,4291,6/27/2013 14:58,6/27/2013 15:05,77,433,76.0,Racine Ave & Congress Pkwy,139.0,Loomis St & Taylor St,Customer,,
3,4316,6/27/2013 15:06,6/27/2013 15:09,77,123,139.0,Loomis St & Taylor St,139.0,Loomis St & Taylor St,Customer,,
4,4342,6/27/2013 15:13,6/27/2013 15:27,77,852,139.0,Loomis St & Taylor St,166.0,Halsted St & James M Rochford St,Customer,,
5,4480,6/27/2013 19:40,6/27/2013 22:28,27,"10,105",209.0,Clark St & Wrightwood Ave,46.0,Wells St & Walton St,Customer,,
6,4490,6/27/2013 18:45,6/27/2013 19:03,418,"1,094",20.0,Dearborn St & Adams St,300.0,Lake Shore Dr & Monroe St,Customer,,
7,4592,6/27/2013 19:34,6/27/2013 19:51,170,"1,020",8.0,Millennium Park,138.0,Canal St & Jackson Blvd,Customer,,
8,4602,6/27/2013 19:45,6/27/2013 20:42,353,"3,419",20.0,Dearborn St & Adams St,20.0,Dearborn St & Adams St,Customer,,
9,4607,6/27/2013 19:46,6/27/2013 19:57,369,653,5.0,Clark St & Randolph St,209.0,Clark St & Wrightwood Ave,Customer,,
10,4617,6/27/2013 19:50,6/27/2013 20:19,658,"1,738",2.0,State St & Randolph St,2.0,State St & Randolph St,Customer,,
11,4619,6/27/2013 19:52,6/27/2013 20:50,533,"3,482",262.0,Fairbanks Ct & Grand Ave,262.0,Fairbanks Ct & Grand Ave,Customer,,
12,4644,6/27/2013 20:22,6/27/2013 20:50,522,"1,712",154.0,Sheffield Ave & Kingsbury St,46.0,Wells St & Walton St,Customer,,
13,4646,6/27/2013 20:22,6/27/2013 20:39,477,996,43.0,Michigan Ave & Lake St,43.0,Michigan Ave & Lake St,Customer,,
14,4647,6/27/2013 20:25,6/27/2013 20:39,525,818,43.0,Michigan Ave & Lake St,43.0,Michigan Ave & Lake St,Customer,,
15,4666,6/27/2013 20:33,6/27/2013 21:22,242,"2,936",2.0,State St & Randolph St,43.0,Michigan Ave & Lake St,Customer,,
16,4793,6/27/2013 21:39,6/27/2013 21:51,240,730,65.0,Damen Ave & Pierce Ave,290.0,Noble St & Milwaukee Ave,Customer,,
17,4863,6/27/2013 22:15,6/27/2013 22:36,381,"1,292",221.0,Wood St & Milwaukee Ave,246.0,Wood St & Division St,Customer,,
18,4865,6/27/2013 22:16,6/27/2013 22:42,343,"1,511",42.0,Michigan Ave & Oak St,42.0,Michigan Ave & Oak St,Customer,,
19,4866,6/27/2013 22:17,6/27/2013 22:42,220,"1,512",42.0,Michigan Ave & Oak St,42.0,Michigan Ave & Oak St,Customer,,
20,4867,6/27/2013 22:17,6/27/2013 22:36,157,"1,125",221.0,Wood St & Milwaukee Ave,246.0,Wood St & Division St,Customer,,
21,4869,6/27/2013 22:20,6/27/2013 22:36,239,964,221.0,Wood St & Milwaukee Ave,246.0,Wood St & Division St,Customer,,
22,4874,6/27/2013 22:23,6/27/2013 22:39,334,972,221.0,Wood St & Milwaukee Ave,223.0,Wood St & North Ave,Customer,,
23,4875,6/27/2013 22:23,6/27/2013 22:39,362,977,221.0,Wood St & Milwaukee Ave,223.0,Wood St & North Ave,Customer,,
24,4883,6/27/2013 22:26,6/27/2013 23:04,221,"2,272",42.0,Michigan Ave & Oak St,42.0,Michigan Ave & Oak St,Customer,,
25,4896,6/27/2013 22:33,6/27/2013 23:05,409,"1,911",42.0,Michigan Ave & Oak St,42.0,Michigan Ave & Oak St,Customer,,
26,4897,6/27/2013 22:35,6/27/2013 23:04,222,"1,758",42.0,Michigan Ave & Oak St,42.0,Michigan Ave & Oak St,Customer,,
27,4902,6/27/2013 22:41,6/27/2013 22:53,257,730,246.0,Wood St & Division St,221.0,Wood St & Milwaukee Ave,Customer,,
28,4943,6/27/2013 23:05,6/27/2013 23:37,325,"1,866",60.0,Sheffield Ave & Fullerton Ave,96.0,California Ave & 21st St,Customer,,
29,4946,6/27/2013 23:06,6/27/2013 23:37,530,"1,856",60.0,Sheffield Ave & Fullerton Ave,124.0,Cannon Dr & Fullerton Ave,Customer,,
30,4954,6/27/2013 23:07,6/27/2013 23:26,164,"1,117",221.0,Wood St & Milwaukee Ave,248.0,Ashland Ave & Augusta Blvd,Customer,,
31,4955,6/27/2013 23:09,6/27/2013 23:26,229,980,221.0,Wood St & Milwaukee Ave,248.0,Ashland Ave & Augusta Blvd,Customer,,
32,4972,6/27/2013 23:24,6/27/2013 23:51,176,"1,642",42.0,Michigan Ave & Oak St,42.0,Michigan Ave & Oak St,Customer,,
33,4986,6/27/2013 23:36,6/28/2013 0:34,221,"3,513",42.0,Michigan Ave & Oak St,42.0,Michigan Ave & Oak St,Customer,,
34,4989,6/27/2013 23:43,6/28/2013 0:21,159,"2,285",124.0,Cannon Dr & Fullerton Ave,124.0,Cannon Dr & Fullerton Ave,Customer,,
35,4991,6/27/2013 23:44,6/27/2013 23:51,306,423,76.0,Racine Ave & Congress Pkwy,164.0,Racine Ave & 18th St,Customer,,
36,5032,6/28/2013 0:04,6/28/2013 0:37,228,"1,995",38.0,Jefferson St & Monroe St,38.0,Jefferson St & Monroe St,Customer,,
37,5033,6/28/2013 0:04,6/28/2013 0:37,251,"1,977",38.0,Jefferson St & Monroe St,38.0,Jefferson St & Monroe St,Customer,,
38,5035,6/28/2013 0:08,6/28/2013 0:24,141,944,8.0,Millennium Park,8.0,Millennium Park,Customer,,
39,5036,6/28/2013 0:10,6/28/2013 0:38,632,"1,656",290.0,Noble St & Milwaukee Ave,290.0,Noble St & Milwaukee Ave,Customer,,
40,5070,6/28/2013 0:23,6/28/2013 0:36,531,736,237.0,Lincoln Ave & Eastwood Ave,60.0,Sheffield Ave & Fullerton Ave,Customer,,
41,5100,6/28/2013 0:46,6/28/2013 0:49,411,223,58.0,Dayton St & North Ave,154.0,Sheffield Ave & Kingsbury St,Customer,,
42,5125,6/28/2013 1:24,6/28/2013 1:44,460,"1,196",65.0,Damen Ave & Pierce Ave,2.0,State St & Randolph St,Customer,,
43,5127,6/28/2013 2:08,6/28/2013 2:24,592,915,20.0,Dearborn St & Adams St,20.0,Dearborn St & Adams St,Customer,,
44,5128,6/28/2013 2:29,6/28/2013 18:03,150,"56,023",65.0,Damen Ave & Pierce Ave,65.0,Damen Ave & Pierce Ave,Customer,,
45,5130,6/28/2013 3:26,6/28/2013 4:11,525,"2,681",43.0,Michigan Ave & Lake St,43.0,Michigan Ave & Lake St,Customer,,
46,5131,6/28/2013 3:30,6/28/2013 4:11,242,"2,433",43.0,Michigan Ave & Lake St,43.0,Michigan Ave & Lake St,Customer,,
47,5132,6/28/2013 5:11,6/28/2013 5:26,233,951,148.0,State St & 16th St,420.0,Martin Luther King Dr & Oakwood Blvd,Customer,,
48,5133,6/28/2013 5:48,6/28/2013 6:02,592,857,20.0,Dearborn St & Adams St,8.0,Millennium Park,Customer,,
49,5136,6/28/2013 5:55,6/28/2013 6:23,418,"1,645",300.0,Lake Shore Dr & Monroe St,300.0,Lake Shore Dr & Monroe St,Customer,,
50,5137,6/28/2013 6:01,6/28/2013 6:22,269,"1,285",221.0,Wood St & Milwaukee Ave,262.0,Fairbanks Ct & Grand Ave,Customer,,
51,5140,6/28/2013 6:28,6/28/2013 6:35,848,406,170.0,Wabash Ave & Cermak Rd,31.0,Wabash Ave & Roosevelt Rd,Customer,,
52,5173,6/28/2013 7:13,6/28/2013 7:35,173,"1,336",51.0,McClurg Ct & Illinois St,19.0,Franklin St & Jackson Blvd,Customer,,
53,5199,6/28/2013 7:37,6/28/2013 7:48,401,668,10.0,Clinton St & Washington Blvd,43.0,Michigan Ave & Lake St,Customer,,
54,5248,6/28/2013 8:17,6/28/2013 9:04,343,"2,789",42.0,Michigan Ave & Oak St,300.0,Lake Shore Dr & Monroe St,Customer,,
55,5250,6/28/2013 8:18,6/28/2013 9:21,225,"3,760",51.0,McClurg Ct & Illinois St,40.0,Michigan Ave & Congress Pkwy,Customer,,
56,5251,6/28/2013 8:19,6/28/2013 8:45,212,"1,593",248.0,Ashland Ave & Augusta Blvd,5.0,Clark St & Randolph St,Customer,,
57,5252,6/28/2013 8:21,6/28/2013 8:33,236,746,10.0,Clinton St & Washington Blvd,265.0,Kingsbury St & Erie St,Customer,,
58,5255,6/28/2013 8:23,6/28/2013 8:46,401,"1,368",43.0,Michigan Ave & Lake St,43.0,Michigan Ave & Lake St,Customer,,
59,5256,6/28/2013 8:25,6/28/2013 8:42,314,"1,057",290.0,Noble St & Milwaukee Ave,301.0,Clinton St & Madison St,Customer,,
60,5260,6/28/2013 8:28,6/28/2013 11:38,242,"11,437",43.0,Michigan Ave & Lake St,247.0,Ashland Ave & Chicago Ave,Customer,,
61,5262,6/28/2013 8:30,6/28/2013 11:38,322,"11,321",43.0,Michigan Ave & Lake St,51.0,McClurg Ct & Illinois St,Customer,,
62,5284,6/28/2013 8:42,6/28/2013 10:12,172,"5,377",51.0,McClurg Ct & Illinois St,106.0,McCormick Place,Customer,,
63,5293,6/28/2013 8:49,6/28/2013 9:20,708,"1,895",17.0,Franklin St & Chicago Ave,2.0,State St & Randolph St,Customer,,
64,5294,6/28/2013 8:49,6/28/2013 9:07,470,"1,106",10.0,Clinton St & Washington Blvd,139.0,Loomis St & Taylor St,Customer,,
65,5305,6/28/2013 8:53,6/28/2013 9:09,335,"1,007",17.0,Franklin St & Chicago Ave,138.0,Canal St & Jackson Blvd,Customer,,
66,5312,6/28/2013 8:54,6/28/2013 9:17,51,"1,360",138.0,Canal St & Jackson Blvd,17.0,Franklin St & Chicago Ave,Customer,,
67,5313,6/28/2013 8:55,6/28/2013 9:14,168,"1,196",139.0,Loomis St & Taylor St,12.0,Larrabee St & Kingsbury St,Customer,,
68,5314,6/28/2013 8:55,6/28/2013 9:30,154,"2,063",40.0,Michigan Ave & Congress Pkwy,40.0,Michigan Ave & Congress Pkwy,Customer,,
69,5319,6/28/2013 8:57,6/28/2013 9:08,236,646,265.0,Kingsbury St & Erie St,301.0,Clinton St & Madison St,Customer,,
